S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Margin_Percentage
225,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217.0,39139.0,8.305939726283219
226,Malkajgiri(7),EATALA RAJENDER,991042.0,391475.0,39.50135312126025
227,Secunderabad(8),G. KISHAN REDDY,473012.0,49944.0,10.558717326410322
228,Chevella(10),KONDA VISHWESHWAR REDDY,809882.0,172897.0,21.348418658520625
229,Mahbubnagar(11),ARUNA. D. K,510747.0,4500.0,0.8810624438322692
230,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436.0,24396.0,23.815845991643563
231,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074.0,57584.0,47.560995754662436
232,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496.0,89325.0,17.294422415662464
233,North-East Delhi(2),MANOJ TIWARI,824451.0,138778.0,16.8327772056799
234,East Delhi(3),HARSH MALHOTRA,664819.0,93663.0,14.088496267405112
235,New Delhi(4),BANSURI SWARAJ,453185.0,78370.0,17.29315842316052
236,North-West Delhi(5),YOGENDER CHANDOLIYA,866483.0,290849.0,33.56661354002329
237,West Delhi(6),KAMALJEET SEHRAWAT,842658.0,199013.0,23.61729194999632
238,South Delhi(7),RAMVIR SINGH BIDHURI,692832.0,124333.0,17.94562029467461
239,UDHAMPUR(4),DR JITENDRA SINGH,571076.0,124373.0,21.778712465591273
240,JAMMU(5),JUGAL KISHORE,687588.0,135498.0,19.706277596467654
